instance_number,objective,number_of_runways,landing_times,runway_assignment,objective_value
4,makespan,2,"[109.0, 84.0, 150.0, 232.0, 92.0, 109.0, 117.0, 117.0, 101.0, 221.0, 232.0, 173.0, 125.0, 235.0, 167.0, 140.0, 165.0, 151.0, 159.0, 286.0]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",286.0
4,makespan,3,"[82.0, 84.0, 166.0, 204.0, 89.0, 109.0, 117.0, 105.0, 101.0, 221.0, 232.0, 140.0, 158.0, 235.0, 166.0, 140.0, 151.0, 151.0, 150.0, 286.0]","[1, 2, 0, 1, 0, 2, 2, 0, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 2]",286.0
5,penalty,1,"[201.0, 246.0, 82.0, 90.0, 98.0, 122.0, 114.0, 106.0, 130.0, 138.0, 307.0, 280.0, 178.0, 146.0, 301.0, 393.0, 162.0, 170.0, 154.0, 186.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3100.0
5,penalty,2,"[138.0, 246.0, 90.0, 94.0, 104.0, 112.0, 112.0, 104.0, 120.0, 137.0, 307.0, 280.0, 161.0, 151.0, 301.0, 393.0, 159.0, 167.0, 153.0, 182.0]","[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",650.0
5,penalty,3,"[147.0, 246.0, 90.0, 94.0, 104.0, 112.0, 112.0, 109.0, 117.0, 137.0, 307.0, 280.0, 161.0, 151.0, 301.0, 393.0, 159.0, 162.0, 153.0, 182.0]","[0, 0, 0, 2, 2, 0, 2, 1, 1, 1, 0, 2, 1, 2, 2, 0, 2, 0, 1, 1]",170.0
5,total_time,1,"[201.0, 204.0, 82.0, 90.0, 98.0, 138.0, 122.0, 106.0, 114.0, 130.0, 240.0, 224.0, 154.0, 162.0, 243.0, 300.0, 186.0, 170.0, 146.0, 178.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3288.0
5,total_time,2,"[129.0, 187.0, 82.0, 85.0, 95.0, 100.0, 108.0, 103.0, 111.0, 122.0, 240.0, 224.0, 144.0, 135.0, 242.0, 300.0, 152.0, 151.0, 143.0, 162.0]","[0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",3015.0
5,total_time,3,"[129.0, 187.0, 82.0, 85.0, 95.0, 100.0, 103.0, 100.0, 108.0, 122.0, 240.0, 224.0, 144.0, 135.0, 242.0, 300.0, 143.0, 146.0, 138.0, 162.0]","[0, 0, 1, 0, 0, 1, 0, 2, 2, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0]",2985.0
5,makespan,1,"[195.0, 233.0, 108.0, 85.0, 210.0, 124.0, 132.0, 100.0, 116.0, 172.0, 245.0, 236.0, 156.0, 140.0, 242.0, 300.0, 164.0, 180.0, 148.0, 218.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",300.0
5,makespan,2,"[129.0, 187.0, 82.0, 92.0, 108.0, 100.0, 108.0, 100.0, 116.0, 124.0, 240.0, 224.0, 153.0, 135.0, 242.0, 300.0, 144.0, 161.0, 144.0, 169.0]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",300.0
